costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,tic,fyrc,sic,ebitda,revt
A,USD,STD,INDL,C,019154,2023-12-31,TVARDI THERAPEUTICS INC,TVRD,12,2836,-121.2360,20.9680
A,USD,STD,FS,C,019159,2023-12-31,PENNS WOODS BANCORP INC,PWOD,12,6020,,99.5900
A,USD,STD,INDL,C,019159,2023-12-31,PENNS WOODS BANCORP INC,PWOD,12,6020,32.8160,99.5900
I,USD,STD,INDL,C,019170,2023-12-31,GLOBAL X FTSE PORTUGAL 20,PGAL,12,6722,,
A,USD,STD,INDL,C,019172,2023-06-30,A-MARK PRECIOUS METALS INC,AMRK,6,5051,209.6720,9286.5610
A,USD,STD,INDL,C,019175,2023-01-31,VINCE HOLDING CORP,VNCE,1,2300,-0.4240,357.2150
A,USD,STD,INDL,C,019189,2023-12-31,SEMLER SCIENTIFIC INC,SMLR,12,3845,23.5890,68.1840
I,CAD,STD,INDL,C,019191,2023-12-31,GEAR ENERGY LTD,GENGF,12,1311,67.4830,131.1310
A,USD,STD,INDL,C,019205,2023-12-31,CAPRICOR THERAPEUTICS INC,CAPR,12,2836,-23.0090,25.1780
A,USD,STD,INDL,C,019209,2023-08-31,NORTHERN TECH INTL,NTIC,8,2890,-4.0200,79.9030
A,CAD,STD,INDL,C,019259,2023-12-31,BAYLIN TECHNOLOGIES INC,BYLTF,12,3670,-6.1160,73.0410
A,USD,STD,FS,C,019262,2023-12-31,COMMUNITY TRUST BANCORP INC,CTBI,12,6020,,326.3090
A,USD,STD,INDL,C,019262,2023-12-31,COMMUNITY TRUST BANCORP INC,CTBI,12,6020,138.4040,326.3090
A,USD,STD,INDL,C,019267,2023-12-31,DIRTT ENVIRONMENTL SOLUTIONS,DRTTF,12,3290,5.0600,181.9310
A,USD,STD,INDL,C,019269,2023-12-31,CAMBRIA FOREIGN SHRHLD YIELD,FYLD,12,6722,,
A,USD,STD,INDL,C,019272,2023-12-31,RESONATE BLENDS INC,KOAN,12,2833,-0.3910,0.0160
A,USD,STD,INDL,C,019274,2023-12-31,INOGEN INC,INGN,12,3845,-45.6790,315.6600
A,CAD,STD,INDL,C,019293,2023-06-30,F3 URANIUM CORP,FUUFF,6,1090,-12.4330,0.0000
A,USD,STD,INDL,C,019295,2023-12-31,AUTOHOME INC,ATHM,12,7370,157.6420,1013.1810
A,USD,STD,INDL,C,019305,2023-12-31,PREFORMED LINE PRODUCTS CO,PLPC,12,3640,105.4460,669.6790
A,USD,STD,INDL,C,019309,2023-12-31,ALVOPETRO ENERGY LTD,ALVOF,12,1311,36.6680,58.0240
A,USD,STD,INDL,C,019317,2023-06-30,AMERICA GREAT HEALTH,AAGH,6,2834,-0.4820,0.2040
A,USD,STD,FS,C,019318,2023-12-31,PARK NATIONAL CORP,PRK,12,6020,,565.3420
A,USD,STD,INDL,C,019318,2023-12-31,PARK NATIONAL CORP,PRK,12,6020,257.0330,565.3420
A,USD,STD,INDL,C,019347,2023-12-31,ISHARES ULTRA SHT DN BND ACT,ICSH,12,6722,,
A,USD,STD,INDL,C,019349,2023-09-30,SIEMENS AG,SIEGY,9,9997,,82308.3350
A,USD,STD,INDL,C,019351,2023-12-31,GLOBAL X NASDAQ-100 COV CAL,QYLD,12,6722,,
A,USD,STD,INDL,C,019354,2023-12-31,VICINITY MOTOR CORP,VEVMQ,12,3713,-8.8260,19.0500
A,USD,STD,FS,C,019355,2023-12-31,SIMMONS FIRST NATL CP  -CL A,SFNC,12,6020,,1365.7270
A,USD,STD,INDL,C,019355,2023-12-31,SIMMONS FIRST NATL CP  -CL A,SFNC,12,6020,410.0650,1365.7270
A,CAD,STD,INDL,C,019359,2023-12-31,CARDINAL ENERGY LTD,CRLFF,12,1311,250.6270,482.1990
A,USD,STD,FS,C,019366,2023-12-31,SOMERSET TRUST HOLDING CO,SOME,12,6020,,121.7190
A,USD,STD,INDL,C,019366,2023-12-31,SOMERSET TRUST HOLDING CO,SOME,12,6020,50.8420,121.7190
A,USD,STD,INDL,C,019368,2023-12-31,WISDOMTREE BLMBRG US DOLR BU,USDU,12,6722,,
A,USD,STD,INDL,C,019370,2023-12-31,WISDOMTREE INTRST RATE HG US,AGZD,12,6722,,
A,USD,STD,INDL,C,019372,2023-12-31,WISDOMTREE INT RAT HDG HI YL,HYZD,12,6722,,
A,CAD,STD,INDL,C,019375,2023-06-30,ENLIGHTA INC,NLTA.H,6,2836,-0.4840,0.0000
A,USD,STD,INDL,C,019391,2023-06-30,MALIBU BOATS INC,MBUU,6,3730,278.2850,1388.3650
A,CAD,STD,INDL,C,019392,2023-12-31,MIDDLEFIELD US EQ DIVI ETF,MUSA.,12,6199,0.2330,0.7210
A,USD,STD,INDL,C,019394,2023-12-31,BRIGHT MOUNTAIN MEDIA INC,BMTM,12,7310,-4.5650,44.5460
A,USD,STD,INDL,C,019398,2023-12-31,DENNYS CORP,DENN,12,5812,76.1890,463.9220
A,USD,STD,INDL,C,019402,2023-01-31,G-III APPAREL GROUP LTD,GIII,1,2300,273.2240,3226.7280
I,USD,STD,INDL,C,019412,2023-12-31,INTRA-CELLULAR THERAPIES INC,ITCI,12,2836,-158.8530,464.3700
A,USD,STD,FS,C,019428,2023-12-31,GREAT SOUTHERN BANCORP,GSBC,12,6020,,326.9080
A,USD,STD,INDL,C,019428,2023-12-31,GREAT SOUTHERN BANCORP,GSBC,12,6020,117.0120,326.9080
A,USD,STD,INDL,C,019431,2023-01-31,PERMA-PIPE INTERNATIONAL HOL,PPIH,1,3490,14.7900,142.5690
A,USD,STD,INDL,C,019433,2023-12-31,PHX MINERALS INC,PHX,12,1311,25.2990,44.4640
A,USD,STD,INDL,C,019434,2023-10-31,HANCOCK J PREMIUM DIV FUND,PDT,10,6726,,
A,USD,STD,INDL,C,019440,2023-12-31,LADDER CAPITAL CORP,LADR,12,6798,,522.2040
A,USD,STD,INDL,C,019447,2023-03-31,MEDEXUS PHARMACEUTICALS,MEDXF,3,2834,14.5700,108.0960
A,USD,STD,INDL,C,019458,2023-12-31,CARISMA THERAPEUTICS INC,CARM,12,2836,-81.2940,14.9190
A,USD,STD,INDL,C,019467,2023-12-31,COCRYSTAL PHARMA INC,COCP,12,2834,-20.9700,0.0000
A,USD,STD,INDL,C,019468,2023-12-31,FIRM CAPITAL APARTMENT REAL,FCAFF,12,6798,,13.6760
I,USD,STD,INDL,C,019471,2023-12-31,REVANCE THERAPEUTICS INC,RVNC,12,2836,-207.0320,234.0400
A,USD,STD,INDL,C,019484,2023-12-31,FTAI AVIATION LTD,FTAI,12,7359,526.8640,1170.8960
A,USD,STD,INDL,C,019485,2023-12-31,FIRST TRUST BUYWRITE INC ETF,FTHI,12,6722,,
A,USD,STD,INDL,C,019488,2023-12-31,FIRST TRUST NAS BUYWR IN ETF,FTQI,12,6722,,
A,USD,STD,INDL,C,019489,2023-12-31,FIRST TR RISING DIV ACHV,RDVY,12,6722,,
A,CAD,STD,INDL,C,019502,2023-06-30,REVIVE THERAPEUTICS LTD,RVVTF,6,2836,-5.5210,0.0000
A,USD,STD,FS,C,019507,2023-12-31,OUTFRONT MEDIA INC,OUT,12,6798,,1834.0000
A,USD,STD,INDL,C,019507,2023-12-31,OUTFRONT MEDIA INC,OUT,12,6798,425.7000,1820.6000
A,USD,STD,INDL,C,019516,2023-12-31,INSTALLED BLDG PRODUCTS INC,IBP,12,1700,469.1350,2778.6000
A,USD,STD,INDL,C,019517,2023-12-31,ONE GAS INC,OGS,12,4924,657.4200,2371.9900
A,USD,STD,INDL,C,019518,2023-12-31,KNOWLES CORP,KN,12,3670,100.0000,707.6000
A,USD,STD,INDL,C,019520,2023-12-31,VANECK SHRT HIGH YD MUNI ETF,SHYD,12,6722,,
A,USD,STD,INDL,C,019526,2023-12-31,FARMLAND PARTNERS INC,FPI,12,6798,,57.5060
A,USD,STD,INDL,C,019549,2023-06-30,BIOVIE INC,BIVI,6,2836,-44.8520,0.0000
A,CAD,STD,INDL,C,019553,2023-12-31,RBC QUANT CDN DIV LEADRS ETF,RCD.,12,6722,,
A,CAD,STD,INDL,C,019554,2023-12-31,RBC QUANT US DIV LEADERS ETF,RUD.,12,6722,,
A,CAD,STD,INDL,C,019555,2023-12-31,RBC QUANT EAFE DIV LEADERS,RID.,12,6722,,
A,CAD,STD,INDL,C,019556,2023-12-31,RBC 1-5 YR LADDE CAN CORP BD,RBO.,12,6722,,
A,USD,STD,INDL,C,019565,2023-12-31,RIO TINTO GROUP,RIO,12,1000,20110.0000,54862.0000
A,USD,STD,INDL,C,019570,2023-12-31,S & T BANCORP INC,STBA,12,6020,249.9500,535.5210
A,USD,STD,FS,C,019570,2023-12-31,S & T BANCORP INC,STBA,12,6020,,535.5210
A,USD,STD,INDL,C,019574,2023-12-31,GANNETT CO INC,GCI,12,2711,236.1800,2663.5500
A,USD,STD,INDL,C,019581,2023-01-31,LANDS' END INC,LE,1,5961,66.3920,1555.4290
A,USD,STD,FS,C,019582,2023-12-31,CARETRUST REIT INC,CTRE,12,6798,,213.5030
A,USD,STD,INDL,C,019582,2023-12-31,CARETRUST REIT INC,CTRE,12,6798,,217.7700
I,USD,STD,INDL,C,019600,2023-12-31,CYMABAY THERAPEUTICS INC,CBAY,12,2836,-100.9980,31.0730
A,USD,STD,INDL,C,019602,2023-12-31,TURTLE BEACH CORP,TBCH,12,3577,-1.7480,258.1220
A,USD,STD,INDL,C,019605,2023-12-31,RAND CAPITAL CORP,RAND,12,6797,4.1520,7.3380
A,USD,STD,INDL,C,019636,2023-12-31,VIDENT US EQUITY STRATEG ETF,VUSE,12,6722,,
A,USD,STD,INDL,C,019638,2023-12-31,DIREXION DAILY EUR BULL 3X,EURL,12,6722,,
A,USD,STD,INDL,C,019647,2023-12-31,LENDINGCLUB CORP,LC,12,6141,107.0480,1135.4110
A,USD,STD,INDL,C,019649,2023-12-31,SABRE CORP,SABR,12,7370,247.2200,2907.7380
A,USD,STD,INDL,C,019660,2023-12-31,PIMCO ENHANCED LOW DUR ACTIV,LDUR,12,6722,,
A,USD,STD,INDL,C,019661,2023-03-31,TOYOTA MOTOR CORP,TM,3,3711,35843.0000,279487.0000
